Country,Confirmed,Deaths,Active,New Cases,Population,Confirmed_last_week,1_week_change,1_week_%_increase
Afghanistan,152142,7025,145117,372,38928341,150778,1364,0.9
Albania,136147,2466,133681,200,2877800,133981,2166,1.62
Algeria,187968,4830,183138,710,43851043,182368,5600,3.07
Andorra,14954,129,14825,30,77265,14836,118,0.8
Angola,44739,1103,43636,122,32866268,43747,992,2.27
Antigua and Barbuda,1397,43,1354,0,97928,1348,49,3.64
Argentina,5088271,109105,4979166,3636,45195777,5029075,59196,1.18
Armenia,234814,4702,230112,256,2963234,232297,2517,1.08
Australia,40097,967,39130,482,50919400,37010,3087,8.34
Austria,669506,10757,658749,774,9006400,663532,5974,0.9
Azerbaijan,369853,5170,364683,1851,10139175,352926,16927,4.8
Bahamas,16668,313,16355,527,393248,15794,874,5.53
Bahrain,271025,1384,269641,106,1701583,270161,864,0.32
Bangladesh,1425861,24349,1401512,6959,164689383,1365158,60703,4.45
Barbados,4548,48,4500,23,287371,4480,68,1.52
Belarus,462197,3613,458584,894,9449321,454674,7523,1.65
Belgium,1154879,25299,1129580,5010,23021022,1141379,13500,1.18
Belize,15010,344,14666,163,397621,14499,511,3.52
Benin,9065,113,8952,0,12123198,8608,457,5.31
Bhutan,2577,3,2574,6,771612,2546,31,1.22
Bolivia,482428,18185,464243,0,11673029,478671,3757,0.78
Bosnia and Herzegovina,207571,9711,197860,495,3280815,206317,1254,0.61
Botswana,142380,2043,140337,5622,2351625,130771,11609,8.88
Brazil,20378570,569492,19809078,14471,422706534,20177757,200813,1
Brunei,787,3,784,64,437483,406,381,93.84
Bulgaria,434535,18376,416159,1301,6948445,428823,5712,1.33
Burkina Faso,13677,170,13507,2,20903278,13625,52,0.38
Burma,356985,13445,343540,2706,54409800,333127,23858,7.16
Burundi,10103,38,10065,483,11890781,8800,1303,14.81
Cabo Verde,34407,300,34107,10,555988,34078,329,0.97
Cambodia,86041,1704,84337,593,16718971,82399,3642,4.42
Cameroon,82454,1338,81116,0,26545864,82064,390,0.48
Canada,1463616,26665,1436951,4546,75750184,1449706,13910,0.96
Central African Republic,11251,99,11152,0,4829764,7151,4100,57.33
Chad,4984,174,4810,2,16425859,4980,4,0.08
Chile,1629932,36420,1593512,740,36692988,1624316,5616,0.35
China,106571,4848,101723,45,2809352660,106047,524,0.49
Colombia,4870922,123580,4747342,3161,99141018,4843007,27915,0.58
Comoros,4038,147,3891,0,869595,4031,7,0.17
Congo (Brazzaville),13398,179,13219,42,89561403,13293,105,0.79
Congo (Kinshasa),53346,1050,52296,92,5518087,51985,1361,2.62
Costa Rica,432149,5255,426894,3854,5094114,420462,11687,2.78
Cote d'Ivoire,52423,363,52060,221,26378274,51399,1024,1.99
Croatia,367068,8285,358783,46,4105268,365089,1979,0.54
Cuba,526837,4088,522749,9169,11326616,466169,60668,13.01
Cyprus,109253,461,108792,381,1207361,106428,2825,2.65
Czechia,1676297,30375,1645922,75,10708981,1675010,1287,0.08
Denmark,332977,2562,330415,964,5897840,325890,7087,2.17
Diamond Princess,712,13,699,0,0,712,0,0
Djibouti,11683,156,11527,1,988002,11663,20,0.17
Dominica,953,0,953,10,71991,388,565,145.62
Dominican Republic,346459,3985,342474,283,10847904,344625,1834,0.53
Ecuador,493767,31870,461897,0,17643060,491831,1936,0.39
Egypt,285465,16625,268840,107,102334403,284789,676,0.24
El Salvador,90129,2794,87335,0,6486201,88371,1758,1.99
Equatorial Guinea,8972,123,8849,0,1402985,8951,21,0.23
Eritrea,6603,37,6566,2,3546427,6589,14,0.21
Estonia,137155,1279,135876,163,1326539,135223,1932,1.43
Eswatini,36514,942,35572,506,1160164,31738,4776,15.05
Ethiopia,289962,4489,285473,688,114963583,284531,5431,1.91
Fiji,40587,394,40193,817,896444,37582,3005,8
Finland,117982,1003,116979,451,5540718,112656,5326,4.73
France,6556496,112992,6443504,13397,68151730,6378567,177929,2.79
Gabon,25607,165,25442,43,2225728,25487,120,0.47
Gambia,9195,271,8924,0,2416664,8603,592,6.88
Georgia,484254,6436,477818,2676,3989175,450149,34105,7.58
Germany,3831827,91905,3739922,3549,166803158,3800069,31758,0.84
Ghana,111232,930,110302,522,31072945,108226,3006,2.78
Greece,539337,13204,526133,2212,10423056,516785,22552,4.36
Grenada,188,1,187,8,112519,178,10,5.62
Guatemala,413797,11189,402608,757,17915567,391118,22679,5.8
Guinea,28118,292,27826,98,13132792,26969,1149,4.26
Guinea-Bissau,5123,90,5033,0,1967998,4788,335,7
Guyana,23575,578,22997,14,786559,22992,583,2.54
Haiti,20556,576,19980,49,11402533,20389,167,0.82
Holy See,27,0,27,0,809,27,0,0
Honduras,319831,8440,311391,3596,9904608,305936,13895,4.54
Hungary,810504,30041,780463,188,9660350,810011,493,0.06
Iceland,9578,30,9548,56,341250,8900,678,7.62
India,32250679,432079,31818600,25166,2751341248,31998158,252521,0.79
Indonesia,3871738,118833,3752905,17384,273523621,3686740,184998,5.02
Iran,4467015,98483,4368532,41194,83992953,4199537,267478,6.37
Iraq,1784594,19740,1764854,8830,40222503,1722328,62266,3.62
Ireland,326188,5059,321129,1441,4937796,313876,12312,3.92
Israel,948058,6687,941371,8698,8655541,906405,41653,4.6
Italy,4444338,128456,4315882,3669,120822834,4400617,43721,0.99
Jamaica,58458,1311,57147,513,2961161,55140,3318,6.02
Japan,1163665,15450,1148215,14922,252643406,1044992,118673,11.36
Jordan,784631,10222,774409,1183,10203140,778093,6538,0.84
Kazakhstan,767163,11725,755438,6922,18776707,712597,54566,7.66
Kenya,221406,4350,217056,679,53771300,212573,8833,4.16
Kiribati,2,0,2,0,117606,2,0,0
"Korea, South",226854,2173,224681,1373,51269183,213987,12867,6.01
Kosovo,116987,2286,114701,740,1793000,110194,6793,6.16
Kuwait,406883,2393,404490,343,4270563,403868,3015,0.75
Kyrgyzstan,172327,2451,169876,237,6524191,169500,2827,1.67
Laos,10441,9,10432,349,7275556,8561,1880,21.96
Latvia,140171,2563,137608,49,1886202,139462,709,0.51
Lebanon,583718,7982,575736,706,6825442,572401,11317,1.98
Lesotho,14352,399,13953,109,2142252,13843,509,3.68
Liberia,5459,148,5311,0,5057677,5459,0,0
Libya,284618,3933,280685,2688,6871287,269847,14771,5.47
Liechtenstein,3161,59,3102,6,38137,3102,59,1.9
Lithuania,290170,4452,285718,360,2722291,286408,3762,1.31
Luxembourg,74690,828,73862,95,625976,74395,295,0.4
MS Zaandam,9,2,7,0,0,9,0,0
Madagascar,42819,954,41865,8,27691019,42781,38,0.09
Malawi,58221,1983,56238,138,19129955,56135,2086,3.72
Malaysia,1424639,12784,1411855,19740,32365998,1279776,144863,11.32
Maldives,79289,222,79067,152,540542,78464,825,1.05
Mali,14697,535,14162,2,20250834,14647,50,0.34
Malta,35380,431,34949,43,441539,34902,478,1.37
Marshall Islands,4,0,4,0,58413,4,0,0
Mauritania,30354,645,29709,233,4649660,28438,1916,6.74
Mauritius,6122,22,6100,515,1271767,5120,1002,19.57
Mexico,3108438,248652,2859786,16467,255584572,2978330,130108,4.37
Micronesia,1,0,1,0,113815,1,0,0
Moldova,262244,6313,255931,200,4033963,260807,1437,0.55
Monaco,3074,33,3041,15,39244,2992,82,2.74
Mongolia,183652,880,182772,1061,3278292,174603,9049,5.18
Montenegro,106493,1646,104847,297,628062,103932,2561,2.46
Morocco,763353,11119,752234,3897,36910558,701325,62028,8.84
Mozambique,139038,1731,137307,289,31255435,133177,5861,4.4
Namibia,122545,3285,119260,76,2540916,121203,1342,1.11
Nepal,734838,10327,724511,2566,29136808,717486,17352,2.42
Netherlands,1937077,18227,1918850,2318,34882427,1919172,17905,0.93
New Zealand,2927,26,2901,0,4839692,2903,24,0.83
Nicaragua,10251,197,10054,0,6624554,9853,398,4.04
Niger,5724,196,5528,0,24206636,5687,37,0.65
Nigeria,183087,2223,180864,584,399640130,178508,4579,2.57
North Macedonia,162457,5560,156897,293,2083380,158164,4293,2.71
Norway,145014,809,144205,530,5421242,141333,3681,2.6
Oman,300408,3999,296409,214,5106622,298942,1466,0.49
Pakistan,1105300,24573,1080727,3221,428724125,1075504,29796,2.77
Palau,0,0,0,0,18008,0,0,0
Panama,448268,6962,441306,444,4314768,442818,5450,1.23
Papua New Guinea,17812,192,17620,6,8947027,17774,38,0.21
Paraguay,456842,15455,441387,147,7132530,455389,1453,0.32
Peru,2133812,197393,1936419,0,65597846,2125848,7964,0.37
Philippines,1755846,30366,1725480,14230,109581085,1667714,88132,5.28
Poland,2885461,75299,2810162,128,76257753,2884162,1299,0.05
Portugal,1004470,17573,986897,1135,10196707,988061,16409,1.66
Qatar,229428,601,228827,260,2881060,227899,1529,0.67
Romania,1087509,34353,1053156,286,19237682,1085100,2409,0.22
Russia,6531585,168384,6363201,20154,292579178,6384195,147390,2.31
Rwanda,80137,969,79168,435,12952209,76635,3502,4.57
Saint Kitts and Nevis,655,3,652,0,53109,620,35,5.65
Saint Lucia,6475,95,6380,109,183629,5913,562,9.5
Saint Vincent and the Grenadines,2314,12,2302,0,110854,2299,15,0.65
Samoa,3,0,3,0,196130,3,0,0
San Marino,5231,90,5141,37,33938,5194,37,0.71
Sao Tome and Principe,2489,37,2452,1,219159,2475,14,0.57
Saudi Arabia,539129,8419,530710,1755,34813867,531935,7194,1.35
Senegal,70854,1614,69240,175,16743930,68012,2842,4.18
Serbia,733332,7174,726158,1288,8737370,726454,6878,0.95
Seychelles,18895,98,18797,0,98340,18582,313,1.68
Sierra Leone,6342,121,6221,0,7976985,6315,27,0.43
Singapore,66225,44,66181,53,5850343,65836,389,0.59
Slovakia,393536,12544,380992,7,5459643,393059,477,0.12
Slovenia,261484,4433,257051,56,2078932,260156,1328,0.51
Solomon Islands,20,0,20,0,652858,20,0,0
Somalia,16399,892,15507,80,15893219,15929,470,2.95
South Africa,2613569,77440,2536129,7983,59308690,2540222,73347,2.89
South Sudan,11195,120,11075,23,11193729,11121,74,0.67
Spain,4719266,82595,4636671,25726,93691843,4627770,91496,1.98
Sri Lanka,358608,6263,352345,3640,21413250,332947,25661,7.71
Sudan,37556,2816,34740,13,43849269,37138,418,1.13
Summer Olympics 2020,567,0,567,25,0,436,131,30.05
Suriname,26641,685,25956,48,586634,26046,595,2.28
Sweden,1110147,14658,1095489,0,20426859,1104538,5609,0.51
Switzerland,740954,10928,730026,5579,8654618,727113,13841,1.9
Syria,26409,1940,24469,67,17500657,26116,293,1.12
Taiwan*,15862,821,15041,10,23806638,15790,72,0.46
Tajikistan,16121,123,15998,60,9537642,15720,401,2.55
Tanzania,1367,50,1317,0,59734213,1017,350,34.41
Thailand,928314,7734,920580,21157,69799978,776108,152206,19.61
Timor-Leste,12682,33,12649,117,1318442,11579,1103,9.53
Togo,18086,165,17921,86,8278737,16946,1140,6.73
Trinidad and Tobago,41955,1188,40767,89,1399491,40361,1594,3.95
Tunisia,625688,21905,603783,1748,11818618,613628,12060,1.97
Turkey,6096786,53324,6043462,18163,84339067,5942241,154545,2.6
US,36888952,622111,36266841,210199,330541757,35948188,940764,2.62
Uganda,97124,2893,94231,137,45741000,95875,1249,1.3
Ukraine,2356345,56190,2300155,1028,89634808,2345166,11179,0.48
United Arab Emirates,702885,2003,700882,1109,9890400,694285,8600,1.24
United Kingdom,6325515,131296,6194219,28358,134862019,6123173,202342,3.3
Uruguay,383387,6004,377383,95,3473727,382607,780,0.2
Uzbekistan,143918,981,142937,877,33469199,137491,6427,4.67
Vanuatu,4,1,3,0,292680,4,0,0
Venezuela,319955,3815,316140,861,28435943,312931,7024,2.24
Vietnam,283696,6141,277555,8652,97338583,224894,58802,26.15
West Bank and Gaza,321031,3625,317406,997,4543126,317999,3032,0.95
Yemen,7308,1405,5903,15,29825968,7187,121,1.68
Zambia,202429,3538,198891,168,18383956,200201,2228,1.11
Zimbabwe,120088,4109,115979,0,14862927,116853,3235,2.77
